Titre :;Dollar des Etats-Unis (USD)
Code série :;EXR.D.USD.EUR.SP00.A
Unité :;Dollar des Etats-Unis (USD)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;BCE (Banque Centrale Européenne) (4F0)
2024-08-02;1,0835
2024-08-01;1,0789
2024-07-31;1,0828
2024-07-30;1,0824
2024-07-29;1,0817
2024-07-28;-
2024-07-27;-
2024-07-26;1,086
2024-07-25;1,0851
2024-07-24;1,0848
2024-07-23;1,086
2024-07-22;1,0888
2024-07-21;-
2024-07-20;-
2024-07-19;1,089
2024-07-18;1,093
2024-07-17;1,0934
2024-07-16;1,0902
2024-07-15;1,0907
2024-07-14;-
2024-07-13;-
2024-07-12;1,089
2024-07-11;1,0855
2024-07-10;1,0825
2024-07-09;1,0814
2024-07-08;1,0835
2024-07-07;-
2024-07-06;-
2024-07-05;1,0824
2024-07-04;1,08
2024-07-03;1,0758
2024-07-02;1,0729
2024-07-01;1,0745
2024-06-30;-
2024-06-29;-
2024-06-28;1,0705
2024-06-27;1,0696
2024-06-26;1,0689
2024-06-25;1,0714
2024-06-24;1,073
2024-06-23;-
2024-06-22;-
2024-06-21;1,0688
2024-06-20;1,0719
2024-06-19;1,0749
2024-06-18;1,0715
2024-06-17;1,0712
2024-06-16;-
2024-06-15;-
2024-06-14;1,0686
2024-06-13;1,0784
2024-06-12;1,0765
2024-06-11;1,073
2024-06-10;1,0756
2024-06-09;-
2024-06-08;-
2024-06-07;1,0898
2024-06-06;1,0865
2024-06-05;1,0872
2024-06-04;1,0865
2024-06-03;1,0842
2024-06-02;-
2024-06-01;-
2024-05-31;1,0852
2024-05-30;1,0815
2024-05-29;1,0857
2024-05-28;1,0882
2024-05-27;1,0843
2024-05-26;-
2024-05-25;-
2024-05-24;1,084
2024-05-23;1,0854
2024-05-22;1,083
2024-05-21;1,0864
2024-05-20;1,0861
2024-05-19;-
2024-05-18;-
2024-05-17;1,0844
2024-05-16;1,0866
2024-05-15;1,0832
2024-05-14;1,0796
2024-05-13;1,0795
2024-05-12;-
2024-05-11;-
2024-05-10;1,0779
2024-05-09;1,0732
2024-05-08;1,0743
2024-05-07;1,0766
2024-05-06;1,0776
2024-05-05;-
2024-05-04;-
2024-05-03;1,0744
2024-05-02;1,0698
2024-05-01;-
2024-04-30;1,0718
2024-04-29;1,072
2024-04-28;-
2024-04-27;-
2024-04-26;1,0714
2024-04-25;1,072
2024-04-24;1,0686
2024-04-23;1,0674
2024-04-22;1,0632
2024-04-21;-
2024-04-20;-
2024-04-19;1,0653
2024-04-18;1,0679
2024-04-17;1,0638
2024-04-16;1,0637
2024-04-15;1,0656
2024-04-14;-
2024-04-13;-
2024-04-12;1,0652
2024-04-11;1,0729
2024-04-10;1,086
2024-04-09;1,0867
2024-04-08;1,0823
2024-04-07;-
2024-04-06;-
2024-04-05;1,0841
2024-04-04;1,0852
2024-04-03;1,0783
2024-04-02;1,0749
2024-04-01;-
2024-03-31;-
2024-03-30;-
2024-03-29;-
2024-03-28;1,0811
2024-03-27;1,0816
2024-03-26;1,0855
2024-03-25;1,0835
2024-03-24;-
2024-03-23;-
2024-03-22;1,0823
2024-03-21;1,0907
2024-03-20;1,0844
2024-03-19;1,0854
2024-03-18;1,0892
2024-03-17;-
2024-03-16;-
2024-03-15;1,0892
2024-03-14;1,0925
2024-03-13;1,0939
2024-03-12;1,0916
2024-03-11;1,0926
2024-03-10;-
2024-03-09;-
2024-03-08;1,0932
2024-03-07;1,0895
2024-03-06;1,0874
2024-03-05;1,0849
2024-03-04;1,0846
2024-03-03;-
2024-03-02;-
2024-03-01;1,0813
2024-02-29;1,0826
2024-02-28;1,0808
2024-02-27;1,0856
2024-02-26;1,0852
2024-02-25;-
2024-02-24;-
2024-02-23;1,0834
2024-02-22;1,0844
2024-02-21;1,0809
2024-02-20;1,0802
2024-02-19;1,0776
2024-02-18;-
2024-02-17;-
2024-02-16;1,0768
2024-02-15;1,0743
2024-02-14;1,0713
2024-02-13;1,0793
2024-02-12;1,0773
2024-02-11;-
2024-02-10;-
2024-02-09;1,0772
2024-02-08;1,0758
2024-02-07;1,0776
