snapped_at,price,market_cap,total_volume
2020-04-11 00:00:00 UTC,0.7693462678619629,6288782.496473745,74453777.05285808
2020-04-12 00:00:00 UTC,0.6304417785949544,4959913.450428698,39735410.608112246
2020-04-13 00:00:00 UTC,0.7029855115306459,5831970.284714803,30351360.48937088
2020-04-14 00:00:00 UTC,0.6279481667011473,5031555.443260741,15627992.273033889
2020-04-15 00:00:00 UTC,0.5279826583927066,4201731.150921186,13878042.375371039
2020-04-16 00:00:00 UTC,0.509252643553657,4084107.4264037423,10110871.89390234
2020-04-17 00:00:00 UTC,0.5544099815719219,4408658.305448188,18524476.05090162
2020-04-18 00:00:00 UTC,0.5255597894134626,4275407.399302474,8175409.764835802
2020-04-19 00:00:00 UTC,0.5411661490843525,4335155.8043896025,8153253.3450846905
2020-04-20 00:00:00 UTC,0.4879807611685055,3878096.699082632,7838289.917830366
2020-04-21 00:00:00 UTC,0.4298442772249153,3444668.144532601,7044082.58288877
2020-04-22 00:00:00 UTC,0.4657506760277649,3733570.3334233873,7814325.742632071
2020-04-23 00:00:00 UTC,0.5558483036167124,4418062.923944414,14727771.560149863
2020-04-24 00:00:00 UTC,0.503332217976985,3974300.856546097,11059041.463404188
2020-04-25 00:00:00 UTC,0.5036718536130744,4065828.302797436,7246089.009450107
2020-04-26 00:00:00 UTC,0.5233239413878114,4184081.7771571097,5923945.231059924
2020-04-27 00:00:00 UTC,0.5174109795291044,4155173.3254315034,6868048.803427879
2020-04-28 00:00:00 UTC,0.4574814590207735,3716259.619113045,6064712.721300198
2020-04-29 00:00:00 UTC,0.5288353415973407,4249493.30837004,5942335.297459065
2020-04-30 00:00:00 UTC,0.5942349502417459,4727610.0886689015,7187204.498896636
2020-05-01 00:00:00 UTC,0.5510756374239751,4480606.885698457,4120986.235351778
2020-05-02 00:00:00 UTC,0.5735172606814531,4588336.823365988,3339020.571305938
2020-05-03 00:00:00 UTC,0.5698591226042758,4534797.652251609,2765617.0760578127
2020-05-04 00:00:00 UTC,0.5513476834267769,4403674.387765828,2710441.165198129
2020-05-05 00:00:00 UTC,0.5407620092704274,4303862.900835099,2786861.3707169686
2020-05-06 00:00:00 UTC,0.522652659430775,4175541.2740183254,2333929.414652325
2020-05-07 00:00:00 UTC,0.502596935675188,4065237.737773455,2203200.056226989
2020-05-08 00:00:00 UTC,0.4922274259264113,3940613.3368181735,2736635.939992402
2020-05-09 00:00:00 UTC,0.49084312185209233,3891314.6694750846,2010079.6785195172
2020-05-10 00:00:00 UTC,0.4850814984794365,3882565.2108815135,1713873.328778226
2020-05-11 00:00:00 UTC,0.43633548280982376,3483300.55498148,1909421.3944002893
2020-05-12 00:00:00 UTC,0.41677345370743646,3382522.488013806,1713956.6212888458
2020-05-13 00:00:00 UTC,0.43531587415184536,3482526.9932147632,1781181.3702512458
2020-05-14 00:00:00 UTC,0.4523555186747897,3606200.083231251,1911159.6997617371
2020-05-15 00:00:00 UTC,0.4693751372926826,3736620.7582730646,448638.5054749274
2020-05-16 00:00:00 UTC,0.4597225939381674,3661764.1074039806,1518320.6028527932
2020-05-17 00:00:00 UTC,0.4948622068450858,3926103.1238427865,1889287.7899362915
2020-05-18 00:00:00 UTC,0.5096586887228496,4052455.37894304,2441360.428125526
2020-05-19 00:00:00 UTC,0.5304660100390949,4274933.702754373,2686905.366478627
2020-05-20 00:00:00 UTC,0.507293090432067,4076676.4789953376,1938004.8304678411
2020-05-21 00:00:00 UTC,0.4740989767167023,3783441.3351006857,1886518.5357799458
2020-05-22 00:00:00 UTC,0.4953984859481687,3970861.365039901,2283904.5753817675
2020-05-23 00:00:00 UTC,0.5054909973125863,4043927.9785006903,2835718.1670241454
2020-05-24 00:00:00 UTC,0.4999320432664975,4000439.6146171065,2157253.143035523
2020-05-25 00:00:00 UTC,0.44867125996331475,3590350.6596951345,2324224.178491094
2020-05-26 00:00:00 UTC,0.4935488997425705,3943185.141799475,3650137.069681928
2020-05-27 00:00:00 UTC,0.46479013207868786,3728261.2058571414,2192379.7417008933
2020-05-28 00:00:00 UTC,0.4799153285901973,3844923.7979760375,2076492.6214213248
2020-05-29 00:00:00 UTC,0.464434465998549,7604154.873295655,2154756.9937964836
2020-05-30 00:00:00 UTC,0.4678027461050524,7637281.467720612,1661805.545565199
2020-05-31 00:00:00 UTC,0.4745924941315019,7770462.5525031155,1976367.6091496812
2020-06-01 00:00:00 UTC,0.46619475047739023,7613239.322179305,1568218.3420599995
2020-06-02 00:00:00 UTC,0.46368412773491324,7545661.327398952,1787824.0240322081
2020-06-03 00:00:00 UTC,0.4498874533576926,7399728.3107953025,1100522.7661620905
2020-06-04 00:00:00 UTC,0.46622503840709917,7644587.986697977,706438.601846075
2020-06-05 00:00:00 UTC,0.46308259265999235,7534032.575091608,681804.2726291142
2020-06-06 00:00:00 UTC,0.5187010125654982,8485805.878398927,3358670.5482586385
2020-06-07 00:00:00 UTC,0.4937958575366803,8037607.3631721195,1298784.1797891292
2020-06-08 00:00:00 UTC,0.48675655305004933,7968300.68593971,611518.2925127418
2020-06-09 00:00:00 UTC,0.5243116592460128,8569398.28859833,1138960.7846640516
2020-06-10 00:00:00 UTC,0.5155902246986946,8437848.768634235,735257.8851290909
2020-06-11 00:00:00 UTC,0.5111036906100026,8363966.983985607,900325.7052873186
2020-06-12 00:00:00 UTC,0.45465228043826367,7426037.672212922,925617.7272510859
2020-06-13 00:00:00 UTC,0.47300124014284933,7750265.332624189,767023.0604056593
2020-06-14 00:00:00 UTC,0.4853203589237592,7936383.530203199,600891.359552726
