snapped_at,price,market_cap,total_volume
2021-04-24 00:00:00 UTC,30.637600618248303,8273400407.24979,1794311792.4531581
2021-04-25 00:00:00 UTC,33.68142366210352,9193947257.05278,1247171244.671658
2021-04-26 00:00:00 UTC,39.41613445319462,10706831997.003635,1749888857.820324
2021-04-27 00:00:00 UTC,36.833296762180495,9977781977.92317,1497162311.399888
2021-04-28 00:00:00 UTC,35.74652997583153,9702848183.091333,735683763.226702
2021-04-29 00:00:00 UTC,37.1145386348884,10023895771.22569,1094704328.1345856
2021-04-30 00:00:00 UTC,35.12018319690438,9502599282.017452,830996044.4209061
2021-05-01 00:00:00 UTC,35.771269654412386,9671950798.366589,595269424.6501192
2021-05-02 00:00:00 UTC,41.31746075115259,11236008293.346045,921637569.7933885
2021-05-03 00:00:00 UTC,39.012965752943245,10584055091.572872,611989430.7051158
2021-05-04 00:00:00 UTC,38.22177215404992,10445380510.812857,625572408.8361973
2021-05-05 00:00:00 UTC,35.540786455814356,9735288024.120266,708260345.8728136
2021-05-06 00:00:00 UTC,37.38822526352731,10159057080.00058,527170366.5776652
2021-05-07 00:00:00 UTC,36.002270063573484,9820423977.443085,411629598.20344603
2021-05-08 00:00:00 UTC,35.41171217018757,9649250519.307007,516371371.1319843
2021-05-09 00:00:00 UTC,37.56043061494876,10263017257.49314,464532593.79295135
2021-05-10 00:00:00 UTC,36.429533126913924,9914594552.493536,518499734.1675399
2021-05-11 00:00:00 UTC,35.382256271567286,9657250938.22899,503014445.0309539
2021-05-12 00:00:00 UTC,36.82159507769262,10057002035.820297,484056412.4242534
2021-05-13 00:00:00 UTC,36.113694029820756,10300981695.151634,1148943476.243798
2021-05-14 00:00:00 UTC,34.04102759688084,9188641691.048138,1054735838.5729078
2021-05-15 00:00:00 UTC,35.30162619573951,9625281527.532804,441809792.425789
2021-05-16 00:00:00 UTC,35.78361625434279,9715135900.3357,508331248.9106942
2021-05-17 00:00:00 UTC,38.826916572728905,10542104616.093664,1851523791.0828788
2021-05-18 00:00:00 UTC,38.54810856664446,10615029277.224842,1731482780.7205505
2021-05-19 00:00:00 UTC,45.973018577924854,12574589621.825418,1687849398.9487405
2021-05-20 00:00:00 UTC,29.38229131102674,8150686320.982738,2400184013.7221866
2021-05-21 00:00:00 UTC,36.41311960700618,9954322262.817636,2060316284.4441566
2021-05-22 00:00:00 UTC,31.553036556791128,8563308192.616998,1483961617.2106934
2021-05-23 00:00:00 UTC,25.95615721824195,7117052125.93804,931640700.004966
2021-05-24 00:00:00 UTC,20.328832923153254,5533031229.589206,1631775870.7530754
2021-05-25 00:00:00 UTC,25.36687257222191,6923502317.232411,1106386213.4208791
2021-05-26 00:00:00 UTC,24.49984594760719,6695381922.081894,763096773.8577207
2021-05-27 00:00:00 UTC,29.243083109014776,7905934576.541078,917585629.503244
2021-05-28 00:00:00 UTC,27.60402685835025,7565683451.376439,542960759.9747262
2021-05-29 00:00:00 UTC,23.80310554538851,6492301197.641837,511883668.5749216
2021-05-30 00:00:00 UTC,22.60167480992105,6196967151.836129,329745174.42786163
2021-05-31 00:00:00 UTC,23.426788147345416,6385454669.569581,316192472.5512963
2021-06-01 00:00:00 UTC,26.698019011504243,7291970808.685204,454867749.9295498
2021-06-02 00:00:00 UTC,25.36550747426234,6929016887.925545,369301365.96654624
2021-06-03 00:00:00 UTC,28.000046200547402,7630412524.661698,431234602.1927714
2021-06-04 00:00:00 UTC,32.73021257389675,9058183987.852703,826918023.2682827
2021-06-05 00:00:00 UTC,30.90192424559425,8441861448.102861,896166071.9640691
2021-06-06 00:00:00 UTC,32.33457778946417,8721756372.650614,946525281.2140442
2021-06-07 00:00:00 UTC,34.73306308963968,9459078887.173557,678075591.1004832
2021-06-08 00:00:00 UTC,31.33155910501043,8725563121.660841,773212521.7234628
2021-06-09 00:00:00 UTC,34.023773181303234,9345791358.73494,1499426383.160688
2021-06-10 00:00:00 UTC,34.55206437134412,9479521756.824846,1044645224.3235312
2021-06-11 00:00:00 UTC,33.84834797703585,9226583877.951656,512779531.48604214
2021-06-12 00:00:00 UTC,29.805818572168846,8119678538.972785,461497030.0494295
2021-06-13 00:00:00 UTC,30.199444188526403,8336975999.290226,482765618.28288513
2021-06-14 00:00:00 UTC,32.05779719989263,8688175044.769196,403431843.2428585
2021-06-15 00:00:00 UTC,32.70044072188078,8916080409.605198,465264749.66543853
2021-06-16 00:00:00 UTC,32.737795661159694,8951534629.402996,419450128.4450617
2021-06-17 00:00:00 UTC,32.98140456224837,8991182950.049349,530848871.71688956
2021-06-18 00:00:00 UTC,33.01138464321625,8931351442.892462,396976786.0400595
2021-06-19 00:00:00 UTC,30.87126178863418,8436117319.616031,405920903.1627946
2021-06-20 00:00:00 UTC,29.719687461478248,8109742166.632157,254780470.80467597
2021-06-21 00:00:00 UTC,29.726825181349906,8097014310.41046,427572892.59776443
2021-06-22 00:00:00 UTC,22.32591841672792,6242801543.975073,702550226.3443937
2021-06-23 00:00:00 UTC,22.387203063264252,5994356868.081837,1148574956.8664908
2021-06-24 00:00:00 UTC,25.88278092494504,7023944683.58714,1008724796.7394614
2021-06-25 00:00:00 UTC,26.355938404731706,7196873777.024712,614168631.5845107
2021-06-26 00:00:00 UTC,24.491935110939362,6689205618.991623,617938003.6644851
2021-06-27 00:00:00 UTC,24.610040642159337,6630862150.798096,535868767.45799094
2021-06-28 00:00:00 UTC,26.52436263831379,7205318983.484694,479080140.52107435
2021-06-29 00:00:00 UTC,27.759849621812705,7578842959.926429,565450740.3262855
2021-06-30 00:00:00 UTC,28.505474251675917,7863553564.826322,542475244.4016097
2021-07-01 00:00:00 UTC,30.22596017871951,8252480166.20449,667277578.0100054
2021-07-02 00:00:00 UTC,28.327549215774063,7719857830.492438,560108056.4104497
2021-07-03 00:00:00 UTC,28.62145046122616,7770569530.675313,511891849.97520685
2021-07-04 00:00:00 UTC,29.048424733088794,7918762874.946878,389417139.05086946
2021-07-05 00:00:00 UTC,29.051954313600017,7924080648.1802845,358365228.13163304
2021-07-06 00:00:00 UTC,27.912655372692008,7614614159.065594,368008390.2678225
2021-07-07 00:00:00 UTC,29.00311732359872,7901857016.71442,422725935.555222
2021-07-08 00:00:00 UTC,31.078037355348574,8473927630.215662,616838269.9659059
2021-07-09 00:00:00 UTC,28.291534314336435,7713639145.486952,584106284.0659722
2021-07-10 00:00:00 UTC,28.230802048400715,7693744388.169772,382387383.37776136
2021-07-11 00:00:00 UTC,26.89165856182864,7338961522.928828,350134003.89837706
2021-07-12 00:00:00 UTC,27.059183708221223,7379350246.290162,249479753.06178382
2021-07-13 00:00:00 UTC,26.09529532503629,7106318384.497762,263309783.49264774
2021-07-14 00:00:00 UTC,24.767023768293527,6754686085.312569,229641313.15162402
2021-07-15 00:00:00 UTC,26.39401479226805,7172932259.258002,400908005.8520371
2021-07-16 00:00:00 UTC,23.98119926372497,6530293396.956566,397137638.990623
2021-07-17 00:00:00 UTC,22.246796631326497,6072608454.545028,315211585.9641536
2021-07-18 00:00:00 UTC,22.694434776925487,6195891582.752013,247892013.7351899
2021-07-19 00:00:00 UTC,22.76512765338311,6207097546.899836,192210781.76470965
2021-07-20 00:00:00 UTC,21.044411038131862,5744547530.189232,314059572.3273485
2021-07-21 00:00:00 UTC,20.254556238675896,5518657591.505768,358393900.2412705
2021-07-22 00:00:00 UTC,22.619072822144723,6143063996.539569,486049622.4651139
2021-07-23 00:00:00 UTC,23.576903970312813,6421690764.883053,319138766.99151677
2021-07-24 00:00:00 UTC,24.105724958784418,6552559421.525628,346111887.739053
2021-07-25 00:00:00 UTC,24.288174079728478,6621289977.639361,308700620.88420516
2021-07-26 00:00:00 UTC,24.055872852782652,6556299991.086051,268852026.7413624
2021-07-27 00:00:00 UTC,23.80012279965759,6529129440.856985,639752200.7435426
2021-07-28 00:00:00 UTC,23.64528723127536,6422438578.786809,317393166.412296
2021-07-29 00:00:00 UTC,23.529513976138364,6412352872.246802,273795922.8933428
2021-07-30 00:00:00 UTC,26.414806048920084,7233855894.271167,412193139.09917295
2021-07-31 00:00:00 UTC,27.1774404873081,7400288929.465669,567501040.291866
2021-08-01 00:00:00 UTC,30.545851634895346,8317995265.34518,517438893.17790526
2021-08-02 00:00:00 UTC,28.803668360911477,7815579257.497197,462393753.0672999
2021-08-03 00:00:00 UTC,28.02234144271534,7655456663.23705,390592620.7262302
2021-08-04 00:00:00 UTC,28.930246399877586,7892928976.095711,451043056.52827555
2021-08-05 00:00:00 UTC,30.32684777169089,8280225530.002886,383168841.13987786
2021-08-06 00:00:00 UTC,31.672671990727757,8633780799.69457,542761201.6604352
2021-08-07 00:00:00 UTC,33.61437398479995,9171728516.645718,539809478.8227613
2021-08-08 00:00:00 UTC,33.48066719434558,9110878242.732367,482642005.4492417
2021-08-09 00:00:00 UTC,32.05873504936265,8743045838.590124,330198922.402073
2021-08-10 00:00:00 UTC,33.02871326932129,8979269127.374743,334658453.2672207
2021-08-11 00:00:00 UTC,34.69366290542031,9436853792.297768,436844409.43027335
2021-08-12 00:00:00 UTC,35.59515215972211,10144908513.758238,441510956.162629
2021-08-13 00:00:00 UTC,35.09874430266454,9985465828.83886,427757106.42554545
2021-08-14 00:00:00 UTC,37.8868356746132,10731352299.045534,454977710.87882686
2021-08-15 00:00:00 UTC,37.35274257052287,10708357818.93093,318550628.4580843
2021-08-16 00:00:00 UTC,45.51387140282476,12964835927.777021,1232796200.344622
2021-08-17 00:00:00 UTC,52.873241167821206,15684577788.439032,3179147157.3502154
2021-08-18 00:00:00 UTC,54.91841476425721,16031204035.343884,3477211056.1716166
2021-08-19 00:00:00 UTC,63.21208964871182,18166262845.99918,3888532328.923252
2021-08-20 00:00:00 UTC,62.5495456482607,17825293562.400475,2356439008.2010355
2021-08-21 00:00:00 UTC,67.04728343986261,19166372221.3482,1552406446.9648418
2021-08-22 00:00:00 UTC,63.43138915061485,18188250143.79913,1284429134.1686518
2021-08-23 00:00:00 UTC,62.52179620589129,17946803808.195583,859086945.8837868
2021-08-24 00:00:00 UTC,64.68175218322484,18750745605.290257,1172068773.600654
2021-08-25 00:00:00 UTC,60.58785724682361,17631989855.528446,1399939613.4550455
2021-08-26 00:00:00 UTC,60.749187311383686,17671708982.22605,1241074351.5541165
2021-08-27 00:00:00 UTC,64.74528940717599,18906586357.36297,2286468425.461008
2021-08-28 00:00:00 UTC,74.57839054224824,21728462722.389668,2707710357.017287
2021-08-29 00:00:00 UTC,82.29195661207733,24017066242.71989,1986808734.8958058
2021-08-30 00:00:00 UTC,79.6806163316313,23140105602.64506,1372435979.2027347
2021-08-31 00:00:00 UTC,92.9462196671531,27057654543.786297,4091922179.371803
2021-09-01 00:00:00 UTC,92.03668840595145,26781723621.553295,6009077910.376615
2021-09-02 00:00:00 UTC,93.5843158781437,27205607737.813732,3082132588.518875
2021-09-03 00:00:00 UTC,108.36939983919278,31438990317.912563,3893700876.6518345
2021-09-04 00:00:00 UTC,123.20645747202153,35830620886.87286,5784312576.539084
2021-09-05 00:00:00 UTC,117.46884544686169,34266449087.22364,3035844096.5682087
2021-09-06 00:00:00 UTC,119.58736247110085,34842620637.91707,2281138839.2407646
2021-09-07 00:00:00 UTC,138.6080204736426,40349549770.90138,4418534548.953886
2021-09-08 00:00:00 UTC,146.34128921349222,43339089609.50525,13636047249.786049
2021-09-09 00:00:00 UTC,160.21305179315868,47066845922.08366,10183161240.762741
2021-09-10 00:00:00 UTC,159.22515207102649,46731521601.8313,10302695487.37455
2021-09-11 00:00:00 UTC,150.98139672387782,44303589388.578224,5920152293.736211
2021-09-12 00:00:00 UTC,150.61098279820487,44199931124.19574,4508967879.231399
2021-09-13 00:00:00 UTC,148.03511429524335,43577505187.082,2545214679.5514464
2021-09-14 00:00:00 UTC,143.32712964680547,42038032241.13951,5309263503.005769
2021-09-15 00:00:00 UTC,133.34291157992553,39395193513.849625,4646686984.63144
2021-09-16 00:00:00 UTC,134.17060034720245,39761713269.979866,3361609410.392601
2021-09-17 00:00:00 UTC,129.15077174479617,38324106309.127945,2688459941.660391
2021-09-18 00:00:00 UTC,125.86877546616104,37446201369.414665,3954992791.36519
2021-09-19 00:00:00 UTC,145.07186934526234,43123154388.55983,4510439557.277264
2021-09-20 00:00:00 UTC,130.74467670825305,38876599025.94667,2935723820.5356026
2021-09-21 00:00:00 UTC,113.73711519868499,33663719121.096558,4820781458.802423
2021-09-22 00:00:00 UTC,104.66004287744848,30918030498.873005,4526983245.510377
2021-09-23 00:00:00 UTC,126.89116430062806,37749265877.83344,4202214425.856164
2021-09-24 00:00:00 UTC,128.05934630666684,38051214348.99231,2855587754.35252
2021-09-25 00:00:00 UTC,118.86310797452823,35449567804.974434,3296510780.8581405
2021-09-26 00:00:00 UTC,116.75279742380832,34618130066.88293,1757359658.0167851
2021-09-27 00:00:00 UTC,115.86095433353678,34431899120.84082,2289480293.8212705
2021-09-28 00:00:00 UTC,116.50775002588782,34657708825.49915,2556271494.377991
2021-09-29 00:00:00 UTC,111.7627853620049,33404021502.518856,2061870639.4389076
2021-09-30 00:00:00 UTC,116.60387438856989,34647795747.97215,2088695140.270601
2021-10-01 00:00:00 UTC,121.97823908963088,36300119361.95027,1912768102.1514778
2021-10-02 00:00:00 UTC,139.1881665486086,41300842887.81035,3637332781.5615635
2021-10-03 00:00:00 UTC,145.94584278586822,43432857917.34315,2838379065.697884
2021-10-04 00:00:00 UTC,148.91101078404836,44417696878.32084,2576150284.491673
2021-10-05 00:00:00 UTC,144.49184541012403,43101094758.92232,2675570495.0979924
2021-10-06 00:00:00 UTC,141.7520639588747,42261574445.84581,2199150148.5785494
2021-10-07 00:00:00 UTC,133.35749373147522,39806989975.60028,2783251311.320127
2021-10-08 00:00:00 UTC,133.46642385873653,39928641695.83154,2136614001.020611
2021-10-09 00:00:00 UTC,137.36245261355137,40924770241.22105,2346713968.313742
2021-10-10 00:00:00 UTC,135.98280205493356,40775155498.584076,1228885512.0586007
2021-10-11 00:00:00 UTC,127.70425302446395,38343164572.98104,1293413538.0234623
2021-10-12 00:00:00 UTC,125.37787567206307,37392612521.581566,1487368140.606913
2021-10-13 00:00:00 UTC,131.81933963475055,39565272316.30694,2398978772.5081673
2021-10-14 00:00:00 UTC,127.9572809922475,38366556210.42884,1703602188.8725433
2021-10-15 00:00:00 UTC,129.48396914438786,38862380800.94086,1650327155.311058
2021-10-16 00:00:00 UTC,140.50546606985932,42090608918.116516,3355481981.88376
2021-10-17 00:00:00 UTC,136.44633477432015,41035230128.76832,1277236398.7864795
2021-10-18 00:00:00 UTC,137.8023301249555,41311277683.86712,1838597944.8303487
2021-10-19 00:00:00 UTC,135.50015473107246,40686409071.233345,1393990271.8279412
2021-10-20 00:00:00 UTC,134.465332784608,40399034962.046295,1157282276.9510305
2021-10-21 00:00:00 UTC,150.64716228351816,44900674058.6559,2632973238.840296
2021-10-22 00:00:00 UTC,162.65264759525485,48816536274.024574,5419130202.190516
2021-10-23 00:00:00 UTC,169.90133572354577,51159569401.45258,5830924276.373222
2021-10-24 00:00:00 UTC,170.3375413981139,51224171956.81367,2534975705.442108
