Date,Open,High,Low,Close,Adj Close,Volume
2026-03-04,1.000017,1.00025,0.999618,0.999957,0.999957,144165782
2026-03-03,0.999936,1.000377,0.999618,1.000031,1.000031,129048013
2026-03-02,1.000069,1.000434,0.999777,0.999939,0.999939,128013938
2026-03-01,1.000106,1.000368,0.99978,1.000072,1.000072,113723303
2026-02-28,0.999979,1.000342,0.999589,1.000091,1.000091,119840573
2026-02-27,0.999903,1.000409,0.999718,0.999975,0.999975,128280178
2026-02-26,1.000036,1.000373,0.999563,0.999902,0.999902,117794895
2026-02-25,0.999984,1.000509,0.999712,1.000065,1.000065,125941689
2026-02-24,0.999779,1.00027,0.999515,0.999979,0.999979,105091769
2026-02-23,0.999935,1.000269,0.999537,0.999772,0.999772,125153891
2026-02-22,0.999979,1.000208,0.999618,0.999927,0.999927,100613319
2026-02-21,0.999938,1.000112,0.999694,0.999955,0.999955,92743357
2026-02-20,0.999793,1.000279,0.999606,0.999916,0.999916,105152300
2026-02-19,0.999824,1.000185,0.999539,0.999778,0.999778,104653014
2026-02-18,0.999823,1.000197,0.999532,0.999814,0.999814,94345743
2026-02-17,0.999649,1.000287,0.999639,0.999841,0.999841,101582045
2026-02-16,0.999789,1.000197,0.999622,0.999663,0.999663,110493324
2026-02-15,0.999918,1.000277,0.999534,0.99979,0.99979,132231878
2026-02-14,1.000031,1.000281,0.999693,0.999913,0.999913,123905903
2026-02-13,0.999724,1.000398,0.999543,1.000027,1.000027,143823777
2026-02-12,0.999753,1.000302,0.999511,0.999696,0.999696,142481078
2026-02-11,0.999897,1.000332,0.999457,0.999768,0.999768,120484204
2026-02-10,0.999771,1.000415,0.999434,0.999894,0.999894,106701886
2026-02-09,0.999704,1.000288,0.999422,0.999732,0.999732,111834776
2026-02-08,0.999696,1.000154,0.999438,0.999764,0.999764,129529764
2026-02-07,0.999826,1.000159,0.99936,0.999694,0.999694,139586382
2026-02-06,0.999837,1.001033,0.999234,0.999823,0.999823,231317157
2026-02-05,0.9992,1.00011,0.99895,0.999817,0.999817,300746136
2026-02-04,0.999438,1.000084,0.999072,0.999247,0.999247,163702430
2026-02-03,0.999662,0.999954,0.999101,0.999424,0.999424,145231447
2026-02-02,0.999622,1.000048,0.999168,0.999669,0.999669,195300386
2026-02-01,0.999476,0.999986,0.999124,0.999648,0.999648,148936215
2026-01-31,0.999433,1.000156,0.99913,0.999508,0.999508,281291477
